px (Torr cm),n (m^-3)
0,0
0.015873015873015872,32206101921966120
0.031746031746031744,30426191352787764
0.047619047619047616,30712966963697460
0.06349206349206349,27057376799748470
0.07936507936507936,27296667508047150
0.09523809523809523,24092537289942484
0.1111111111111111,25445126553756020
0.12698412698412698,25240082937011670
0.14285714285714285,25751489786238790
0.15873015873015872,25835670658384204
0.1746031746031746,25432180098820428
0.19047619047619047,26069448044206020
0.20634920634920634,26198015471328216
0.2222222222222222,25640602388518740
0.2380952380952381,24274534474004796
0.25396825396825395,24821345557227496
0.2698412698412698,26650610784427356
0.2857142857142857,26571233993988668
0.3015873015873016,27789138766458070
0.31746031746031744,30142002768396372
0.3333333333333333,31565578293025644
0.3492063492063492,29953899987568384
0.3650793650793651,29574513064742970
0.38095238095238093,31459422040802644
0.3968253968253968,36192205175142270
0.4126984126984127,38860993584497840
0.4285714285714286,39788532936230664
0.4444444444444444,40866091402066330
0.4603174603174603,43021884915031540
0.4761904761904762,45289928712427130
0.4920634920634921,46930915566096890
0.5079365079365079,47058749387041610
0.5238095238095238,50357607226199950
0.5396825396825397,53231558852254890
0.5555555555555556,55906543260998610
0.5714285714285714,59357349490854220
0.5873015873015873,62759861458314330
0.6031746031746033,64778337827533740
0.6190476190476191,67272877682911920
0.6349206349206349,72894640656909340
0.6507936507936508,71215700229751170
0.6666666666666666,75718998929710380
0.6825396825396826,79922096356476530
0.6984126984126984,74014395611991200
0.7142857142857143,79222301762744160
0.7301587301587302,85762137130661200
0.746031746031746,91313512301109230
0.7619047619047619,96925323019523090
0.7777777777777778,120967497007743660
0.7936507936507936,123176748627181570
0.8095238095238094,127448806728116380
0.8253968253968254,141835093096591150
0.8412698412698414,152106782093317100
0.8571428571428572,143897502106749660
0.873015873015873,180844612525292220
0.8888888888888888,171690574487283800
0.9047619047619048,213778178935612540
0.9206349206349206,237251590459539650
0.9365079365079364,257688872538536600
0.9523809523809524,297122730638871100
0.9682539682539684,277260181277705470
0.9841269841269842,308203735444889800
1,392761931979415360
1.0158730158730158,373136126172746100
1.0317460317460316,414300413082672060
1.0476190476190477,457362312263408830
1.0634920634920635,512875140466267000
1.0793650793650793,633244891190050200
1.0952380952380953,685072737142711000
1.1111111111111112,740317343638783100
1.126984126984127,817961081327297300
1.1428571428571428,910545549567208600
1.1587301587301586,977749440492888700
1.1746031746031746,938417608258433400
1.1904761904761905,1138288970041807500
1.2063492063492065,1101757938142977800
1.2222222222222223,1320592224132440300
1.2380952380952381,1397700900599102000
1.253968253968254,1489240585810403000
1.2698412698412698,1571370440452088300
1.2857142857142856,1742771265881173000
1.3015873015873016,2453089929256776000
1.3174603174603174,2372905244187125000
1.3333333333333333,2289121637767492000
1.3492063492063493,2254445386328002000
1.3650793650793651,2189994717205355300
1.380952380952381,2124571384017574400
1.3968253968253967,2107604709649933600
1.4126984126984126,2087368935012781600
1.4285714285714286,2113205161205104600
1.4444444444444444,2038209199816814600
1.4603174603174605,1990684781276920300
1.4761904761904763,1926364725443929300
1.492063492063492,1910688848947518700
1.507936507936508,1862427740781686300
1.5238095238095237,1830177981240193000
1.5396825396825398,1767284945845677600
1.5555555555555556,1720303559625414000
1.5714285714285716,1716985287017916000
1.5873015873015872,1641393185586548200
1.6031746031746033,1605837052035568600
1.6190476190476188,1574827987917773000
1.6349206349206349,1510294137314976800
1.6507936507936507,1484582195825871400
1.6666666666666667,1394632030652196400
1.6825396825396828,1341715117985692700
1.6984126984126984,1288995156170887700
1.7142857142857144,1223552360964723200
1.73015873015873,1147879894158248000
1.746031746031746,1093044131990760200
1.7619047619047619,1072020545832742300
1.7777777777777777,973472647374513800
1.7936507936507937,921269979933426600
1.8095238095238095,863657416367699200
1.8253968253968256,796814267835920900
1.8412698412698412,744293598603177500
1.8571428571428572,673543485973807200
1.8730158730158728,623451978980404200
1.8888888888888888,556053005603606400
1.9047619047619049,503928053652813500
1.9206349206349207,430620341468881800
1.9365079365079367,373770563534098400
1.9523809523809523,303795643332670140
1.9682539682539684,237559143146638700
1.984126984126984,152657913391335420
